game_id,team,number,player_name,player_url,starter,min,pts,2ptm,2pta,2pt_pct,3ptm,3pta,3pt_pct,fgm,fga,fg_pct,ftm,fta,ft_pct,def,off,reb,pf,pfa,stl,to,ast,blk,blka,rate
741614,הפועל נווה שאנן חיפה,13,רותם לוינשטיין,https://ibasketball.co.il/player/3668ec9c83485fa8-89478164/,0,7,0,0,0,0.0,0,1,0.0,0,1,0.0,0,0,0.0,0,0,0,2,0,0,0,0,0,0,-3
741614,הפועל נווה שאנן חיפה,7,רותם עובדיה,https://ibasketball.co.il/player/3968ec9c9808f820-92301527/,0,6,0,0,1,0.0,0,1,0.0,0,2,0.0,0,0,0.0,1,0,1,2,0,0,0,1,0,1,-3
741614,הפועל נווה שאנן חיפה,8,אבישי יטח,https://ibasketball.co.il/player/3668ec9c900d7e04-74182980/,0,1,0,0,1,0.0,0,0,0.0,0,1,0.0,0,0,0.0,0,1,1,0,0,1,0,0,0,0,1
741615,"א.ס רמה""ש ירק השדה",44,איירה לי,https://ibasketball.co.il/player/1268ec23402284e3-03924266/,1,30,28,10,12,83.3,2,2,100.0,12,14,85.7,2,2,100.0,9,3,12,0,2,2,1,1,0,0,42
741615,"א.ס רמה""ש ירק השדה",2,דימיטרי רוברטס,https://ibasketball.co.il/player/1768f1951bd69a44-99232627/,1,29,18,6,8,75.0,1,4,25.0,7,12,58.3,3,4,75.0,3,1,4,1,3,2,1,10,0,0,29
741615,"א.ס רמה""ש ירק השדה",31,אופק מלכה,https://ibasketball.co.il/player/3268f18e1b5cada0-06591618/,1,29,8,1,4,25.0,2,6,33.3,3,10,30.0,0,0,0.0,0,0,0,0,1,1,1,1,0,0,3
741615,"א.ס רמה""ש ירק השדה",13,עמית ביר כץ,https://ibasketball.co.il/player/3968ec2ce4654174-85688927/,1,25,14,7,8,87.5,0,1,0.0,7,9,77.8,0,2,0.0,2,1,3,3,1,1,1,3,0,0,14
741615,"א.ס רמה""ש ירק השדה",8,חן כלפון,https://ibasketball.co.il/player/3868e57856375fc4-02814383/,1,24,6,1,1,100.0,1,3,33.3,2,4,50.0,1,2,50.0,1,0,1,2,1,3,1,2,0,0,7
741615,"א.ס רמה""ש ירק השדה",4,רני בלגה,https://ibasketball.co.il/player/3768ec2f298543a0-17095185/,0,22,4,1,7,14.3,0,1,0.0,1,8,12.5,2,4,50.0,4,1,5,1,6,2,3,7,0,0,11
741615,"א.ס רמה""ש ירק השדה",17,רועי אבנרי,https://ibasketball.co.il/player/3168ec2eec442f89-13148689/,0,20,9,2,3,66.7,0,5,0.0,2,8,25.0,5,5,100.0,5,1,6,3,3,1,1,2,0,0,11
741615,"א.ס רמה""ש ירק השדה",10,דניאל ראובן,https://ibasketball.co.il/player/2768ec242b4bb749-62900036/,0,14,0,0,0,0.0,0,1,0.0,0,1,0.0,0,0,0.0,0,2,2,1,3,0,0,0,0,0,3
