player_name,team,games_played,games_started,min,pts,fgm,fga,fg_pct,2ptm,2pta,2pt_pct,3ptm,3pta,3pt_pct,ftm,fta,ft_pct,def,off,reb,ast,stl,to,pf,pfa,blk,blka,rate
עמית אהרוני,מכבי רחובות,10,10,26.5,6.9,2.5,6.6,37.9,1.9,3.4,55.9,0.6,3.2,18.7,1.3,1.9,68.4,2.7,0.3,3.0,6.6,1.4,1.4,2.0,2.7,0.2,0.3,12.4
עמית ביר כץ,"א.ס רמה""ש ירק השדה",10,10,23.4,7.9,3.6,6.1,59.0,3.6,6.0,60.0,0.0,0.1,0.0,0.7,1.8,38.9,3.0,2.2,5.2,1.5,0.4,1.1,2.6,1.5,0.2,0.3,9.1
עמית זיס,א.ס. עירוני אשקלון,8,1,12.4,1.5,0.4,1.6,23.1,0.4,1.4,27.3,0.0,0.2,0.0,0.8,1.1,66.7,1.9,1.2,3.1,1.1,0.6,0.8,1.8,1.2,0.0,0.0,3.5
עמית מנחם,מכבי רחובות,10,2,21.3,11.8,4.5,8.1,55.6,3.5,5.9,59.3,1.0,2.2,45.5,1.8,3.2,56.2,3.6,1.6,5.2,6.2,1.8,3.6,3.6,3.6,0.0,0.5,15.8
עמית סנקר,א.ס. עירוני אשקלון,10,8,25.6,8.0,2.7,5.6,48.2,0.4,0.6,66.7,2.3,5.0,46.0,0.3,0.4,75.0,1.7,0.6,2.3,1.2,0.1,0.5,2.6,0.9,0.0,0.0,6.4
עמית ראובן,מכבי אשדוד,10,10,25.8,13.0,4.7,10.1,46.5,2.4,4.4,54.5,2.3,5.7,40.4,1.3,1.7,76.5,1.4,0.5,1.9,5.4,1.2,2.5,2.9,2.6,0.0,0.2,12.7
עמית שדה,מכבי קרית גת,4,0,21.0,8.8,2.2,7.8,29.0,1.8,4.5,38.9,0.5,3.2,15.4,3.8,4.5,83.3,2.5,0.2,2.8,2.5,0.5,2.8,1.2,3.2,0.0,0.8,6.8
עמרי שלף,מ.כ עוטף דרום,10,9,25.9,11.0,3.1,7.5,41.3,0.8,2.4,33.3,2.3,5.1,45.1,2.5,3.5,71.4,2.0,0.5,2.5,0.4,0.5,1.0,2.3,2.3,0.4,0.3,8.1
פול דלייני,אליצור שומרון,10,2,24.1,8.8,3.0,6.0,50.0,2.5,4.7,53.2,0.5,1.3,38.5,2.3,3.3,69.7,2.9,1.7,4.6,2.9,0.5,1.5,2.5,3.1,0.2,0.4,11.7
צוף בן משה,הפועל אסטרל אילת,9,0,25.7,10.9,3.4,8.6,40.3,1.8,3.4,51.6,1.7,5.1,32.6,2.3,2.7,87.5,3.7,1.4,5.1,1.3,1.3,1.1,2.0,2.4,0.1,0.1,12.4
צחי יתאח,מ.ס צפת,5,0,6.4,1.6,0.4,0.6,66.7,0.4,0.6,66.7,0.0,0.0,0.0,0.8,1.0,80.0,2.0,0.8,2.8,0.0,0.4,0.8,1.8,0.8,0.6,0.0,3.2
קורן ז'ורנו,"מכבי פ""ת",8,8,29.2,12.8,4.1,10.9,37.9,1.5,3.1,48.0,2.6,7.8,33.9,1.9,2.4,78.9,3.2,0.5,3.8,5.4,1.6,2.2,2.5,3.4,0.0,0.4,14.5
קורן משה,מכבי גיא נתן חיפה,3,2,23.3,11.3,3.3,4.7,71.4,3.3,4.7,71.4,0.0,0.0,0.0,4.7,5.3,87.5,3.7,2.0,5.7,1.3,1.0,0.7,3.7,3.0,0.0,0.0,16.0
קורן משה,מכבי חיפה גיא נתן,7,4,15.7,6.1,2.0,3.6,56.0,2.0,3.6,56.0,0.0,0.0,0.0,2.1,2.6,83.3,2.7,1.9,4.6,0.4,0.0,0.9,2.1,1.9,0.0,0.1,7.9
קיירי בראון,אליצור יבנה,8,8,28.2,7.4,2.4,7.5,31.7,1.0,3.4,29.6,1.4,4.1,33.3,1.2,1.6,76.9,1.9,0.2,2.1,3.6,1.5,1.9,2.8,1.9,0.2,0.1,6.5
קינדל היל,מ.כ עוטף דרום,10,10,32.4,15.9,5.6,12.2,45.9,4.9,9.8,50.0,0.7,2.4,29.2,4.0,5.9,67.8,5.5,3.3,8.8,2.7,0.9,2.3,2.5,5.1,0.9,0.3,20.7
קלארק רוזנברג,מכבי קרית גת,7,6,28.3,14.4,4.9,11.0,44.2,3.1,6.6,47.8,1.7,4.4,38.7,3.0,4.6,65.6,3.3,2.1,5.4,2.3,1.3,1.3,2.7,4.0,0.9,0.4,16.1
ראיין טוראל,הפועל חיפה נווה שאנן שובל,1,0,25.0,14.0,4.0,13.0,30.8,2.0,7.0,28.6,2.0,6.0,33.3,4.0,4.0,100.0,4.0,4.0,8.0,0.0,1.0,1.0,3.0,2.0,0.0,1.0,11.0
ראיין טוראל,הפועל נווה שאנן חיפה,3,1,24.3,13.7,4.7,9.7,48.3,1.7,3.7,45.5,3.0,6.0,50.0,1.3,1.7,80.0,2.0,1.7,3.7,2.0,1.3,0.7,1.7,1.7,0.0,0.0,14.7
ראיין טוראל,עירוני נהריה,5,2,22.4,8.8,3.8,8.2,46.3,3.0,5.0,60.0,0.8,3.2,25.0,0.4,0.6,66.7,2.0,1.6,3.6,1.2,0.2,0.2,3.0,1.4,0.0,0.2,7.2
רביב פיטשון,מכבי אשדוד,10,0,13.8,4.6,1.6,4.3,37.2,1.0,2.9,34.5,0.6,1.4,42.9,0.8,1.2,66.7,2.8,1.0,3.8,3.3,0.2,1.7,2.6,1.0,0.0,0.2,5.3
רוברט טרנר,מכבי אשדוד,9,9,32.8,22.1,7.9,16.7,47.3,5.3,9.1,58.5,2.6,7.6,33.8,3.8,4.7,81.0,2.7,1.4,4.1,5.4,1.8,1.6,2.1,4.3,0.1,0.1,24.4
רוברט יוג'ין טרנר,מכבי אשדוד,1,1,39.0,26.0,11.0,21.0,52.4,7.0,11.0,63.6,4.0,10.0,40.0,0.0,0.0,0.0,3.0,1.0,4.0,10.0,3.0,2.0,2.0,3.0,0.0,0.0,32.0
רום כיטכס,מכבי מעלה אדומים,9,9,25.6,11.7,4.2,8.3,50.7,3.0,5.0,60.0,1.2,3.3,36.7,2.0,3.0,66.7,3.2,0.3,3.6,1.6,0.8,1.8,2.2,3.4,0.3,0.4,11.8
רום מיטב,הפועל נווה שאנן חיפה,1,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
רון יצחק כהן,א.ס. עירוני אשקלון,3,3,26.3,16.3,6.3,11.3,55.9,5.0,8.7,57.7,1.3,2.7,50.0,2.3,2.3,100.0,2.0,1.3,3.3,5.0,1.3,3.0,3.7,3.7,0.0,0.0,18.0
רון כהן,א.ס. עירוני אשקלון,7,5,21.4,7.3,3.0,6.9,43.8,2.1,4.9,44.1,0.9,2.0,42.9,0.4,0.7,60.0,2.0,0.7,2.7,3.3,1.7,2.6,3.3,1.6,0.3,0.0,6.9
רועי אבנרי,"א.ס רמה""ש ירק השדה",10,0,19.9,8.1,2.4,6.0,40.0,1.1,1.8,61.1,1.3,4.2,31.0,2.0,2.3,87.0,3.4,1.0,4.4,1.0,0.6,1.2,3.3,1.5,0.2,0.5,6.9
רועי בכר,אליצור שומרון,10,10,24.7,11.1,3.9,8.2,47.6,1.3,2.9,44.8,2.6,5.3,49.1,0.7,1.3,53.8,2.6,0.4,3.0,0.8,0.6,0.9,3.5,1.3,0.0,0.1,7.4
רותם לוינשטיין,הפועל חיפה נווה שאנן שובל,1,0,6.0,3.0,1.0,1.0,100.0,0.0,0.0,0.0,1.0,1.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0
